coordinate,mRID,businessType,psrType,resourceName,startTime,endTime,position,quantity,,export from https://transparency.entsoe.eu/generation/r2/actualGenerationPerGenerationUnit/show
"47.5653, 7.953 ",11WD4SAEK2HD7--Y,A01,B10,SÃ¤ckingen,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.9395, 6.1825",11WD7VIAN2H-1-1O,A01,B10,Vianden 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.0264, 8.2379",11W0-0000-0196-1,A01,B04,KMW_KW2GT,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.513611, 8.431667",11WD7LUDW5GSDG1Q,A01,B04,Block GT1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,118,,
"49.9395, 6.1825",11WD7VIAN2H-1-4I,A01,B10,Vianden 4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.248889, 6.879167",11WD7VOLK5S-HKVM,A01,B05,VOELKLINGEN_HKV,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.0791, 6.8287",11WD7BRAU5G-GUDH,A01,B04,GuD Dormagen,2024-11-13T00:00Z,2024-11-14T00:00Z,1,271,,
"51.673532, 7.720513",11WD7GERS-G-BLIY,A01,B04,Gersteinwerk I,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.9395, 6.1825",11WD7VIAN2H-2-5C,A01,B10,Vianden 5,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.3699, 6.7163",11WD7HUCK2G--A-C,A01,B03,Huckingen A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,170,,
"51.550673, 7.187527",11W0-0000-0245-J,A01,B04,GuD Herne,2024-11-13T00:00Z,2024-11-14T00:00Z,1,420,,
"49.513611, 8.431667",11WD7LUDW5GSDG2O,A01,B04,Block GT2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,117,,
"51.614389, 7.464277",11WD7STUM1SBL10G,A01,B05,KW LÃ¼nen Block 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,725,,
"49.9395, 6.1825",11WD7VIAN2H-2-78,A01,B10,Vianden 7,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.996883, 6.667549",11WD7NIED1B--G-C,A01,B02,NiederauÃem G,2024-11-13T00:00Z,2024-11-14T00:00Z,1,605,,
"51.67395, 7.92915",11WD7KWHU1GBL10E,A01,B04,KW Hamm-Uentrop Block 10,2024-11-13T00:00Z,2024-11-14T00:00Z,1,262,,
"49.445694, 8.490444",11W0-0000-0006-5,A01,B05,GKM AG Amprion,2024-11-13T00:00Z,2024-11-14T00:00Z,1,551,,
"49.9395, 6.1825",11WD7VIAN2H-2-6A,A01,B10,Vianden 6,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.3699, 6.7163",11WD7HUCK2G--B-9,A01,B03,Huckingen B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.550673, 7.187527",11WD7HERN2S--4-X,A01,B05,HERNE_4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.4031, 7.4155",11WD7HERD2G-H6-X,A01,B04,HERDECKE_H6,2024-11-13T00:00Z,2024-11-14T00:00Z,1,419,,
"49.248889, 6.879167",11WD7VOLK5S-MKV2,A01,B05,VOELKLINGEN_MKV,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.839578, 6.322382",11WD7WEIS5GVGTHS,A01,B04,Weisweiler VGT - BI. H,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.839578, 6.322382",11WD7WEIS1B--G-J,A01,B02,Weisweiler G,2024-11-13T00:00Z,2024-11-14T00:00Z,1,653,,
"50.839578, 6.322382",11WD7WEIS1B--F-M,A01,B02,Weisweiler F,2024-11-13T00:00Z,2024-11-14T00:00Z,1,318,,
"51.4908, 6.72697",11WD7BEEC5XHAM5G,A01,B03,HAMBORN-5,2024-11-13T00:00Z,2024-11-14T00:00Z,1,206,,
"50.9749, 6.988",11WD7BOLA5GDTN2T,A01,B04,DT HKW-Niehl-2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.390000, 6.748056",11WD7RHAU5GKW3B5,A01,B04,HKW IIIB,2024-11-13T00:00Z,2024-11-14T00:00Z,1,226,,
"51.4908, 6.72697",11WD7BEEC5XHAM4I,A01,B03,HAMBORN-4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,81,,
"49.9395, 6.1825",11WD72VIA2H--10R,A01,B10,Vianden 10,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.4128, 7.4513",11WD7KOEP2P--5-G,A01,B10,Koepchenwerk,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.45972, 6.73055",11WD7BEEC5XRUH4E,A01,B03,RUHRORT-4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.9395, 6.1825",11WD72VIA2H--11P,A01,B10,Vianden 11,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"46.9349, 10.0595",11W0-0000-0110-E,A01,B10,Obervermuntwerk 2 M2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,21,,
"47.5653, 7.953",11WD4SAEK2HD4--9,A01,B10,Kraftwerk SÃ¤ckingen,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.5694, 7.8111",11WD4KWRHF5M1-4I,A01,B11,KW Rheinfelden DE,2024-11-13T00:00Z,2024-11-14T00:00Z,1,32,,
"46.9349, 10.0595",11W0-0000-0109-S,A01,B10,Obervermuntwerk 2 M1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.017500, 9.157500",11WD4WALK5OGTD-F,A01,B06,Kraftwerk Wahlheim GT D,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"48.813842, 9.219193",11WD4MUST5X-DT-M,A01,B17,Stuttgart-MÃ¼nster DT,2024-11-13T00:00Z,2024-11-14T00:00Z,1,31,,
"54.8340, 14.0680",11W0-0000-0026-Y,,offshore wind,Wikinger_Prod,,,,,,
"47.0854, 9.8826",11WD43ROW2H----I,A01,B10,Rodund 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.6876, 8.2513",11WD4WITZ5H-SD4C,A01,B10,Kraftwerk Witznau,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.5565, 8.0483",11WD4KWLFB5M1107,A01,B11,KW Laufenburg,2024-11-13T00:00Z,2024-11-14T00:00Z,1,40,,
"48.717185, 9.37079",11WD4AL1U1C2---O,A01,B05,HKW Altbach/Deizisau 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,261,,
"49.445694, 8.490444",11W0-0000-0004-B,A01,B05,GKM AG DBEnergie,2024-11-13T00:00Z,2024-11-14T00:00Z,1,103,,
"49.445694, 8.490444",11W0-0000-0005-8,A01,B05,GKM AG TNG,2024-11-13T00:00Z,2024-11-14T00:00Z,1,298,,
"48.8325, 8.1115",11WD4IFFE5H----T,A01,B11,Rheinkraftwerk Iffezheim,2024-11-13T00:00Z,2024-11-14T00:00Z,1,68,,
"49.175277, 9.207428",11WD4HLBR1C7---4,A01,B05,HKW Heilbronn Block 7,2024-11-13T00:00Z,2024-11-14T00:00Z,1,673,,
"46.9756, 10.043",11WD43KOP2HM2--H,A01,B10,Kopswerk 2 M2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,"Gemeinde Gaschurn, Bezirk Bludenz, Vorarlberg, Austria"
"46.9756, 10.043",11WD43KOP2HM3--D,A01,B10,Kopswerk 2 M3,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"47.6521, 7.9258",11WD4WEHR1HD4--Y,A01,B10,Kraftwerk Wehr,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"46.9756, 10.043",11WD43KOP2HM1--L,A01,B10,Kopswerk 2 M1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"49.0125, 8.30278",11WD4RDK81C8---3,A01,B05,RDK 8,2024-11-13T00:00Z,2024-11-14T00:00Z,1,809,,
